Resolution,Grouping,Group,Variable,n,R2,RMSE,Bias,Slope
Daily,Site,AU-Stp,WUE,6,0.03215562523805602,0.8240306515073741,0.12438970614255124,0.3430230252232128
Daily,Site,AU-Wom,GPP,8,0.1565597618423471,3.277582812901053,-2.15373012168,0.16452909876244645
Daily,Site,AU-Wom,ET,8,0.5220834646254313,0.8405373473551369,-0.55402685698695,0.6658393408014605
Daily,Site,AU-Wom,WUE,8,0.23906222091097928,8.848025703415818,2.9585924073168655,2.772357926377442
Daily,Site,AU-Ync,GPP,19,0.32649777569070626,1.960592283628873,1.0776194346931578,0.6659021771144602
Daily,Site,AU-Ync,ET,19,0.25178089285076455,1.1670984563344524,-0.27997517627994056,0.2674513686115254
Daily,Site,AU-Ync,WUE,19,0.318188240645347,1.9432562576875765,1.2922118616632656,1.3159852857020178
Daily,Site,CZ-BK1,GPP,20,0.4120446208849855,5.280419140879307,-4.0301928169265,0.3640198528044979
Daily,Site,CZ-BK1,ET,20,0.7213263806873897,0.7914169665758923,-0.2704406880752778,0.6295306257825327
Daily,Site,CZ-BK1,WUE,20,0.11174863772681437,3.001636010061503,-0.9576201647517275,0.6583514965518793
Daily,Site,DE-RuS,GPP,14,0.4858854486503437,3.8468294201423454,-0.0035554798181430336,0.4687368945290524
Daily,Site,DE-RuS,ET,14,0.4374351408361743,1.9335369949184893,-1.370171120288314,0.24625656987303354
Daily,Site,DE-RuS,WUE,14,0.02977985362236867,3.6103479328404604,2.93933688095531,0.24962070805821923
Daily,Site,FR-Tou,GPP,11,0.2556921330342716,4.9186600265257,-2.7714628279756366,-0.2749676026852676
Daily,Site,FR-Tou,ET,11,0.0004832721583548333,1.3823815231447851,0.012990527767204642,-0.019508440223176646
Daily,Site,FR-Tou,WUE,11,0.13374977007170666,10.64042929304863,0.4503829930243601,-2.8954025725351227
Daily,Site,NZ-Lau,GPP,102,0.131487593904657,3.935205997969556,-1.9621307325332644,0.21776349021220587
Daily,Site,NZ-Lau,ET,102,0.1684842346190929,2.4978231556559454,-1.8974426008097436,0.20446227066316053
Daily,Site,NZ-Lau,WUE,102,0.008216848158453341,6.392354786013062,2.4886139524897235,-0.6304274421918795
Daily,Site,US-MOz,GPP,6,0.1393107895590602,5.291849879093098,2.9322317353066665,0.42782920943356956
Daily,Site,US-MOz,ET,6,0.866528271618677,1.4542306983248015,-0.6694303819757513,0.5765324876311801
Daily,Site,US-MOz,WUE,6,0.42045648899675686,16.107988837117873,7.174858956190402,-20.158795854986383
Daily,Site,US-Me6,GPP,19,0.29372504353666523,1.7547692545182947,0.2450973157669472,0.43780131515658854
Daily,Site,US-Me6,ET,19,0.09308800090525682,1.843992542237537,1.3682161645872497,0.4753638858378025
Daily,Site,US-Me6,WUE,19,0.25995494809942976,2.5901243772490137,-0.6434781983501164,-1.060202636922577
Daily,Site,US-SRG,GPP,25,0.2141746855653894,1.2056350895221335,0.3066871596833119,0.7463755659101683
Daily,Site,US-SRG,ET,25,0.5128025578482093,0.7387884255083613,0.5976083030262687,0.5566696530938131
Daily,Site,US-SRG,WUE,25,1.9190293462046002e-07,0.9422840513635351,-0.3179075957581478,0.000440401565365685
Daily,Site,US-SRM,GPP,24,0.020716739459213457,1.877278116692183,1.5217054968335002,0.36794413444884455
Daily,Site,US-SRM,ET,24,0.009643791271258148,2.7488706426569727,2.6113338891539826,0.3265182489846453
Daily,Site,US-SRM,WUE,24,0.10644591505296833,0.8199568078488854,0.025044055988761804,-0.2184368705066237
Daily,Site,US-xBR,GPP,12,0.9758093223410239,1.5444419962320293,0.7646376416386668,1.2952723496175031
Daily,Site,US-xBR,ET,12,0.7181332464902618,0.8124855242173671,-0.2164570689653458,0.6945300727427504
Daily,Site,US-xBR,WUE,12,0.14457452585481376,1.4959278352925705,0.7965911366392694,0.5854093528377529
Daily,Site,US-xKZ,GPP,6,0.9895607974123901,1.1315765698041522,0.6929892289440002,0.829557409994455
Daily,Site,US-xKZ,ET,6,0.8492928028822795,2.3095043457375506,-0.9303362705333705,0.30522247541003295
Daily,Site,US-xKZ,WUE,6,0.18977076164347553,1.9088748273677794,1.6878331083812244,0.7572777219232277
Daily,Site,US-xPU,GPP,9,0.001276608921246573,6.157517005013681,-0.12966296579777759,0.16833265448288964
Daily,Site,US-xPU,ET,9,0.043518962359775815,1.9142599870632084,0.067426320969847,-0.09777396666502927
Daily,Site,US-xPU,WUE,9,0.14026042298897484,2.4753648762907563,-0.2457634102956929,-0.7118067288874886
Daily,Site,US-xSJ,GPP,6,0.1828121821141148,1.750256838496614,0.6189219872036665,0.5707152171898399
Daily,Site,US-xSJ,ET,6,0.4219950060968806,0.8031757979028827,0.5956192417789471,0.592836980271053
Daily,Site,US-xSJ,WUE,6,0.0037536312070833838,11.858825900483657,4.169645321578682,0.71067791433078
Daily,Site,US-xSR,GPP,13,0.5603858851245259,0.8031257796548411,0.6780512488123077,0.8880149596500952
Daily,Site,US-xSR,ET,13,0.49195320582621205,0.9015299267426297,0.8504461580268219,1.0206588189232217
Daily,Site,US-xSR,WUE,13,0.115846810403951,0.904204081710721,-0.2262623681537072,0.15384486216677334
Daily,kg_label,BSh,GPP,31,0.09223755538477237,1.826512509370813,1.4157478100090841,0.8479334159518038
Daily,kg_label,BSh,ET,31,0.000993846409931239,2.453023168313002,2.184844063609747,-0.06327241727739934
Daily,kg_label,BSh,WUE,31,0.09344671949026406,0.8788456082948632,-0.018864673468747237,0.2065500608485794
Daily,kg_label,BSk,GPP,45,0.4458228595243751,1.5768879073327673,0.5900826100136177,0.8606871687703618
Daily,kg_label,BSk,ET,45,0.3585006945652852,0.939743423353004,0.2240928371205261,0.32192490177280225
Daily,kg_label,BSk,WUE,45,0.1065870189614367,1.4575007068239334,0.3404598241629284,0.6878721840529154
Daily,kg_label,BWh,GPP,13,0.5603858851245259,0.8031257796548411,0.6780512488123077,0.8880149596500952
Daily,kg_label,BWh,ET,13,0.49195320582621205,0.9015299267426297,0.8504461580268219,1.0206588189232217
Daily,kg_label,BWh,WUE,13,0.115846810403951,0.904204081710721,-0.2262623681537072,0.15384486216677334
Daily,kg_label,Cfa,GPP,12,0.007725119759270767,4.9987232155039925,-3.024425517519333,-0.047511275968900125
Daily,kg_label,Cfa,ET,12,0.04590077884994441,1.342058155296018,0.07606251053352901,0.21569176593786135
Daily,kg_label,Cfa,WUE,12,0.13433452382462208,10.207510549426328,0.22813717549355547,-2.830350498462995
Daily,kg_label,Cfb,GPP,146,0.18540544732917313,4.044455152974646,-1.5610003354147874,0.3465711196676596
Daily,kg_label,Cfb,ET,146,0.12187456251219068,2.261418626801102,-1.54325756535709,0.19751056004079687
Daily,kg_label,Cfb,WUE,146,0.0009815250477510785,5.919829906232112,2.250526082303356,0.15061949135792363
Daily,kg_label,Csa,GPP,22,0.2043812737466187,3.2666305361839405,0.41627812483281806,0.25705161838520074
Daily,kg_label,Csa,ET,22,0.040219694811298584,1.3362160039665338,0.39660387167220146,0.13161737328985895
Daily,kg_label,Csa,WUE,22,0.0004973756484283966,9.636155764674644,2.5627652510666774,-0.07424653920006836
Daily,kg_label,Dfa,GPP,23,0.5579673723650921,3.9650427241766546,1.9767549828874784,0.7929851400305079
Daily,kg_label,Dfa,ET,23,0.677858094953412,1.8383234181880022,-0.8197171258939813,0.3765403775743437
Daily,kg_label,Dfa,WUE,23,0.004223113950999906,8.625969659347104,3.522421670680899,0.42251021875875533
Daily,kg_label,Dfb,GPP,48,0.4652395817557562,3.598116939363755,-1.5488397801812497,0.5238630030930116
Daily,kg_label,Dfb,ET,48,0.6064195985647052,0.9465947440450776,-0.4141199606616432,0.6064738068839571
Daily,kg_label,Dfb,WUE,48,0.1378522621950043,2.3353001223340093,-0.09790580248338482,0.43093248858318706
Daily,kg_label,Dfc,GPP,10,0.3192508911860262,2.4994698428587854,-1.1086770911237998,0.40584365158428454
Daily,kg_label,Dfc,ET,10,0.3639053197306516,1.2455680961914193,-0.19584165505612255,0.4367676776341272
Daily,kg_label,Dfc,WUE,10,0.2411753073464517,2.3294164051199435,0.7056903679939189,1.3011796449531376
Daily,kg_label,Dsb,GPP,19,0.29372504353666523,1.7547692545182947,0.2450973157669472,0.43780131515658854
Daily,kg_label,Dsb,ET,19,0.09308800090525682,1.843992542237537,1.3682161645872497,0.4753638858378025
Daily,kg_label,Dsb,WUE,19,0.25995494809942976,2.5901243772490137,-0.6434781983501164,-1.060202636922577
Daily,Veg,CRO,GPP,33,0.37691771227780685,4.277479044462764,1.2689101515038177,0.44572516589945926
Daily,Veg,CRO,ET,33,0.3220645541966809,1.7116879887945586,-1.0157012443048175,0.22541765173821646
Daily,Veg,CRO,WUE,33,0.06824955919374684,6.5132035261121075,3.941577497230534,0.9382024890266325
Daily,Veg,DBF,GPP,29,0.6676994723864408,2.674211976177676,0.9365751462400002,1.0445079154889971
Daily,Veg,DBF,ET,29,0.6452931485434227,1.0975587866726584,-0.21973886859115407,0.547896162661651
Daily,Veg,DBF,WUE,29,0.014062117826156354,7.406093232565442,1.751076310270652,-1.2528939101183632
Daily,Veg,EBF,GPP,18,0.002255536899995755,5.060176534949437,-1.3446568204511111,0.08772750283709843
Daily,Veg,EBF,ET,18,0.10385355326910606,1.4761854297956447,-0.1697513136779934,0.2684072767805821
Daily,Veg,EBF,WUE,18,0.20235395282424018,6.175041703319265,1.0689056526960217,2.007794776534877
Daily,Veg,ENF,GPP,47,0.2788076327089429,3.6676038592132576,-1.72543511571783,0.27353130154421246
Daily,Veg,ENF,ET,47,0.20372332817302785,1.3865870397884923,0.4952043196785503,0.4204105842608042
Daily,Veg,ENF,WUE,47,0.04128593872810725,2.7389816420280795,-0.743138382493885,0.3182233652346649
Daily,Veg,GRA,GPP,179,0.24231273201640183,3.4281535958894045,-1.193095415136428,0.3352254940795912
Daily,Veg,GRA,ET,179,0.1403471666225044,2.0454138745984425,-1.0956701097361006,0.16321487841804294
Daily,Veg,GRA,WUE,179,1.0080749077205558e-08,5.595952518933336,1.6474859869608094,-0.0005578843337090453
Daily,Veg,MF,GPP,13,0.7225829473604196,2.6893075768142736,-1.4599278435810772,0.7109719028216617
Daily,Veg,MF,ET,13,0.5661306223214979,0.9609505761732234,0.30663143049564034,0.6868000725392911
Daily,Veg,MF,WUE,13,0.0011448492101974563,3.590445660066044,-1.4274222591793064,0.012848119383313412
Daily,Veg,OSH,GPP,13,0.5603858851245259,0.8031257796548411,0.6780512488123077,0.8880149596500952
Daily,Veg,OSH,ET,13,0.49195320582621205,0.9015299267426297,0.8504461580268219,1.0206588189232217
Daily,Veg,OSH,WUE,13,0.115846810403951,0.904204081710721,-0.2262623681537072,0.15384486216677334
Daily,Veg,SAV,GPP,6,0.1828121821141148,1.750256838496614,0.6189219872036665,0.5707152171898399
Daily,Veg,SAV,ET,6,0.4219950060968806,0.8031757979028827,0.5956192417789471,0.592836980271053
Daily,Veg,SAV,WUE,6,0.0037536312070833838,11.858825900483657,4.169645321578682,0.71067791433078
Daily,Veg,WET,GPP,6,0.7064838357862852,2.1750441058324004,0.7382662274200001,0.41323599798519667
Daily,Veg,WET,ET,6,0.5741074333540568,1.5795654727491106,-1.4748906575464913,0.8146922235100357
Daily,Veg,WET,WUE,6,0.022910170779224758,1.6860575105767022,1.2700111065814728,0.24756611156384573
Daily,Veg,WSA,GPP,31,0.5265630042680938,1.8485745668229028,1.2319585156601294,0.6090529593972035
Daily,Veg,WSA,ET,31,0.0072260890724315935,2.5419660579177554,2.2436862958189594,0.06508791175440005
Daily,Veg,WSA,WUE,31,0.08127295705015893,0.892467583592445,-0.13887122910757166,0.1786108640423945
